iter	Logloss
0	0.6401276635
1	0.5957540753
2	0.5602631365
3	0.515961818
4	0.4830455359
5	0.4507399554
6	0.4148172265
7	0.3882489636
8	0.369938502
9	0.3561402479
10	0.335946314
11	0.3227336231
12	0.3106576586
13	0.2994969235
14	0.2908162687
15	0.2781607415
16	0.2673623782
17	0.2614780907
18	0.253547626
19	0.2461570454
20	0.2393055472
21	0.2344137595
22	0.2257058305
23	0.2216221412
24	0.2171014179
25	0.2111743549
26	0.2065246089
27	0.2031592859
28	0.1998540996
29	0.1952529876
30	0.1915019978
31	0.1882825637
32	0.1839852244
33	0.1818132277
34	0.1786155607
35	0.1758273774
36	0.1729518758
37	0.1703876122
38	0.1675108817
39	0.1655809264
40	0.1633837053
41	0.1617178017
42	0.1593311725
43	0.1571014238
44	0.154982027
45	0.1531116186
46	0.1514378422
47	0.1509156989
48	0.1492347767
49	0.1477298293
50	0.1466303836
51	0.1458703323
52	0.1443833603
53	0.1430861021
54	0.14216265
55	0.1407686826
56	0.1396839022
57	0.1385211813
58	0.1374876071
59	0.1359263915
60	0.1349587618
61	0.1338503497
62	0.1326191214
63	0.1317127168
64	0.1306730444
65	0.1300626949
66	0.1288660064
67	0.1281135717
68	0.1273623662
69	0.126043672
70	0.1253825128
71	0.12420255
72	0.1233102689
73	0.1225736088
74	0.1217974448
75	0.1211103005
76	0.1203856803
77	0.1198877406
78	0.1192265091
79	0.1187689884
80	0.1181858378
81	0.11760585
82	0.1170303853
83	0.1162020876
84	0.115468832
85	0.1147520807
86	0.1143349524
87	0.1136404707
88	0.1131535413
89	0.1125085091
90	0.1121842367
91	0.1116482566
92	0.1112265234
93	0.1109114135
94	0.1107031477
95	0.1104611197
96	0.1099638585
97	0.1092657348
98	0.1087513848
99	0.1080976554
100	0.1074820998
101	0.1069009378
102	0.1064476193
103	0.1057314631
104	0.105266829
105	0.104806029
106	0.1044781111
107	0.104074638
108	0.103708216
109	0.1033242382
110	0.1028729722
111	0.1026037388
112	0.1020470684
113	0.1013052658
114	0.1008125668
115	0.1005836845
116	0.1000357231
117	0.099408089
118	0.09935066953
119	0.09917667889
120	0.09880920729
121	0.09825698645
122	0.09765255433
123	0.0970489208
124	0.09672543849
125	0.09644757482
126	0.09607601418
127	0.09555506195
128	0.09528327292
129	0.09490386776
130	0.09479535282
131	0.09452635652
132	0.09433209001
133	0.09393310812
134	0.09366035567
135	0.0932214309
136	0.09256523622
137	0.09209587278
138	0.09167352984
139	0.09127278338
140	0.09065726404
141	0.09044038389
142	0.08999135972
143	0.08950649172
144	0.08914723154
145	0.08893364656
146	0.08845739865
147	0.08814693036
148	0.08799027955
149	0.087687075
150	0.0872334683
151	0.08680890362
152	0.08639923088
153	0.08580763787
154	0.08556912362
155	0.08529093233
156	0.08496280177
157	0.08461235644
158	0.08429002726
159	0.08395643647
160	0.08344521526
161	0.08326303441
162	0.0828471253
163	0.08246499328
164	0.08217548336
165	0.08182931018
166	0.08131962611
167	0.0810628986
168	0.08049606613
169	0.08007284175
170	0.07961893822
171	0.07921927319
172	0.0788854459
173	0.0786751794
174	0.07813831368
175	0.07767525905
176	0.07740391636
177	0.07707147338
178	0.076825828
179	0.07651911234
180	0.07623571556
181	0.07608857644
182	0.07579660231
183	0.07558127343
184	0.07506744749
185	0.07470993316
186	0.07450899017
187	0.0740861493
188	0.07360766065
189	0.07310397303
190	0.07293151891
191	0.07237134809
192	0.0722579326
193	0.07180564825
194	0.07131311497
195	0.07109694854
196	0.07086351358
197	0.07068203608
198	0.07057539133
199	0.07042739533
200	0.07000501711
201	0.06972312985
202	0.06912808968
203	0.06880583423
204	0.06841563718
205	0.06795020665
206	0.06776801186
207	0.06763648063
208	0.06723735963
209	0.06675893648
210	0.06625987737
211	0.06579204173
212	0.06535944195
213	0.06515799402
214	0.06477523218
215	0.06443161209
216	0.06405833039
217	0.06360941792
